i	Pi	Wi	Di
1	74	8	1128
2	7	6	885
3	88	4	1074
4	77	3	889
5	49	9	555
6	23	6	1215
7	18	5	758
8	26	9	1468
9	27	10	940
10	100	6	725
11	45	1	1422
12	9	2	1563
13	21	9	1257
14	3	7	1378
15	90	7	533
16	81	2	520
17	93	9	1287
18	55	9	924
19	96	10	535
20	46	5	776
21	63	6	823
22	82	1	1136
23	47	6	1491
24	22	6	698
25	21	5	964
26	99	3	1102
27	87	9	969
28	41	5	555
29	44	3	1657
30	96	4	915
31	92	2	816
32	41	5	633
33	6	6	869
34	19	4	1291
35	40	3	849
36	62	10	1408
37	32	2	1118
38	48	3	730
39	51	5	932
40	72	10	849
41	90	5	613
42	87	3	1099
43	18	2	1126
44	73	3	1800
45	33	7	674
46	24	8	1377
47	15	6	528
48	85	6	616
49	53	7	489
50	40	7	1335
